Designator,Mid X,Mid Y,Rotation,Layer
C1,163.892,-111.179,180.0,top
C10,134.254378,-119.606287,270.0,top
C11,122.508378,-116.775287,90.0,top
C12,150.260589,-86.439411,315.0,bottom
C13,161.539411,-78.339411,225.0,bottom
C14,161.039411,-71.660589,135.0,bottom
C15,156.539411,-67.060589,135.0,bottom
C16,149.635589,-63.339411,135.0,bottom
C17,154.739411,-65.360589,135.0,bottom
C18,137.160589,-76.939411,315.0,bottom
C19,160.239411,-70.760589,135.0,bottom
C2,174.472,-119.106,90.0,top
C20,158.260589,-67.539411,315.0,bottom
C21,159.439411,-69.960589,135.0,bottom
C22,160.82,-96.0,0.0,bottom
C23,160.82,-97.1,0.0,bottom
C24,158.330635,-61.944365,315.0,bottom
C25,128.88,-102.025,180.0,bottom
C26,128.88,-100.8,180.0,bottom
C27,162.8,-98.32,270.0,bottom
C28,161.795046,-65.404954,315.0,bottom
C29,164.13875,-95.1,180.0,bottom
C3,161.873,-117.275,180.0,top
C30,161.45625,-91.34,0.0,bottom
C31,161.45875,-92.68,0.0,bottom
C32,163.83625,-90.9,0.0,bottom
C33,178.1625,-89.575,180.0,bottom
C34,178.1425,-88.375,180.0,bottom
C35,183.8425,-82.575,180.0,bottom
C36,183.8425,-81.375,180.0,bottom
C37,186.4625,-85.155,90.0,bottom
C38,184.7825,-84.675,180.0,bottom
C39,180.7825,-79.875,180.0,bottom
C4,165.416,-117.275,0.0,top
C40,150.02,-102.1875,180.0,bottom
C41,175.9625,-88.375,180.0,bottom
C42,153.239411,-85.939411,225.0,bottom
C43,146.8,-100.7875,180.0,bottom
C44,146.8,-99.4875,180.0,bottom
C45,138.021178,-77.778822,135.0,bottom
C46,175.0625,-79.875,0.0,bottom
C47,155.463,-89.351,0.0,top
C48,141.1,-93.85,90.0,top
C49,150.7375,-88.51,0.0,top
C5,165.416,-119.053,0.0,top
C50,135.984901,-59.927975,315.0,top
C51,169.967373,-67.216831,225.0,top
C6,168.122,-118.077,90.0,top
C7,168.122,-121.633,270.0,top
C8,166.09,-121.633,270.0,top
C9,136.286378,-119.580287,90.0,top
D1,140.096378,-119.475287,270.0,top
D2,150.0,-93.5,90.0,top
D3,132.0,-63.0,45.0,top
D4,167.0,-63.0,315.0,top
DZ1,152.0275,-127.535,0.0,top
J1,152.099998,-115.66,180.0,top
J10,184.1,-96.225,90.0,bottom
J11,171.1,-92.975,270.0,top
J12,170.95,-103.425,270.0,top
J13,117.5,-100.0,90.0,bottom
J14,189.7125,-84.675,180.0,bottom
J2,183.225,-106.15,180.0,bottom
J3,116.575,-79.05,0.0,bottom
J4,147.899998,-115.66,180.0,top
J5,183.225,-114.65,180.0,bottom
J7,141.2,-127.2,0.0,bottom
J8,138.9,-136.0,0.0,top
J9,161.1,-136.0,180.0,top
L1,168.464,-113.465,0.0,top
L2,171.932,-123.509,270.0,top
L3,182.1625,-83.075,90.0,bottom
L4,180.9625,-84.19,270.0,bottom
L5,182.6775,-84.675,180.0,bottom
Q1,158.6475,-123.135,0.0,top
Q2,128.388378,-125.777287,90.0,top
R1,159.066,-113.148,270.0,top
R10,128.91,-98.0,0.0,bottom
R11,128.91,-99.2,0.0,bottom
R12,145.389376,-64.789376,45.0,bottom
R13,159.035624,-65.439376,135.0,bottom
R14,128.91,-103.5,180.0,bottom
R15,128.91,-104.7,180.0,bottom
R16,128.91,-105.9,180.0,bottom
R17,138.860589,-78.639411,315.0,bottom
R18,137.660624,-72.360624,45.0,bottom
R19,142.939376,-67.139376,45.0,bottom
R2,159.066,-116.513,270.0,top
R20,140.939376,-69.139376,45.0,bottom
R21,179.8625,-88.875,270.0,bottom
R22,142.339376,-81.660624,315.0,bottom
R23,177.9625,-81.375,0.0,bottom
R24,141.539376,-80.860624,315.0,bottom
R25,138.578752,-71.478752,45.0,bottom
R27,139.378752,-70.678752,45.0,bottom
R28,140.178752,-69.878752,45.0,bottom
R3,152.5025,-124.935,0.0,top
R31,155.463,-96.331,180.0,top
R4,128.408378,-118.300287,270.0,top
R5,128.408378,-114.650287,270.0,top
R6,143.671413,-121.53153,270.0,top
R7,143.671413,-117.97553,90.0,top
R8,159.081802,-68.318198,135.0,bottom
R9,128.91,-96.8,0.0,bottom
U1,163.2625,-114.293,180.0,top
U10,155.8495,-92.841,180.0,top
U2,171.358,-118.598,90.0,top
U3,193.725,-100.0,90.0,top
U4,131.394378,-119.471787,90.0,top
U5,160.7625,-99.15,0.0,bottom
U6,164.11875,-93.05,0.0,bottom
U7,150.0,-75.0,225.0,bottom
U8,150.0,-100.0,0.0,bottom
U9,177.225,-84.775,270.0,bottom
Y1,160.903858,-62.848223,135.0,bottom
Y2,177.9125,-78.475,90.0,bottom
